Trait,Marker_ID,Estimate,SD,Model_Frequency
y,1,0.0,0.0,0.0
y,2,0.0009385231259248856,0.008730817880811818,0.012999999999999996
y,3,0.0,0.0,0.0
y,4,-0.00024220337494522312,0.0035807137816732575,0.005000000000000003
y,5,0.0,0.0,0.0
y,6,0.0001973078181999331,0.0038200502017013823,0.0030000000000000022
y,7,0.0,0.0,0.0
y,8,0.0,0.0,0.0
y,9,0.0,0.0,0.0
y,10,-0.00016276930300512327,0.002986594029289457,0.0030000000000000022
y,11,-0.0002379611106537789,0.00346568469244703,0.006000000000000004
y,12,0.00010399342718102825,0.003286916224055456,0.0010000000000000009
y,13,-5.293275962043261e-5,0.001673043682631589,0.0010000000000000005
y,14,-6.036457445936419e-6,0.00019079407663264767,0.001
y,15,0.00015147761974272558,0.003386424368435805,0.0020000000000000035
y,16,0.0,0.0,0.0
y,17,3.1261433117033246e-6,0.0022977769560807325,0.0020000000000000013
y,18,-0.00014603680251612817,0.004434936908025004,0.0030000000000000027
y,19,9.92681976162704e-6,0.0012692515493960973,0.0020000000000000018
y,20,0.0,0.0,0.0
y,21,0.0,0.0,0.0
y,22,-0.00013232713635714908,0.004182458672296367,0.0010000000000000015
y,23,-0.00016015740148370464,0.003813588653695194,0.0020000000000000026
y,24,3.98680253472488e-5,0.0014183647828830885,0.0020000000000000026
y,25,-4.969032668319759e-5,0.002416049370189109,0.0030000000000000014
y,26,2.0883600780712806e-5,0.0009670355776355617,0.002000000000000003
y,27,0.0,0.0,0.0
y,28,0.0,0.0,0.0
y,29,-2.999502465163997e-5,0.0009480515821138818,0.0010000000000000013
y,30,-0.0021404073638477115,0.016405186032319885,0.020999999999999984
y,31,0.0,0.0,0.0
y,32,-5.341603565573238e-6,0.00016883185695564968,0.001
y,33,0.00014333762746057246,0.004359732747360476,0.003
y,34,1.5526288602561937e-5,0.0004907388023503685,0.0010000000000000002
y,35,4.8820990889175105e-5,0.0015430831676385831,0.001000000000000001
y,36,0.0,0.0,0.0
y,37,0.0003897321854999937,0.006270417954396857,0.004000000000000001
y,38,-0.00010891276356196308,0.0024346954501636275,0.002000000000000003
y,39,0.0,0.0,0.0
y,40,-7.1448347031046644e-6,0.00022582651365983118,0.0010000000000000013
y,41,-0.000155832739614124,0.004925399363798599,0.0010000000000000018
y,42,2.519186456360113e-5,0.0007962382872925861,0.0010000000000000002
y,43,0.0,0.0,0.0
y,44,-0.020333505859113987,0.040635291424732795,0.218
y,45,3.9486559854152425e-5,0.0012480501675439363,0.0010000000000000013
y,46,3.0306098110452187e-5,0.000798443631098755,0.0019999999999999996
y,47,5.426321571125043e-6,0.00017150953567502807,0.0010000000000000013
y,48,-2.1688499651462748e-5,0.0006855075682400364,0.0010000000000000009
y,49,0.0,0.0,0.0
y,50,-8.153233835381619e-5,0.0019541000585744923,0.0020000000000000018
y,51,-1.7567653411147322e-5,0.0012673836673120435,0.002000000000000003
y,52,-0.00028302379102033217,0.005104468301687162,0.0040000000000000036
y,53,0.0008681962341310077,0.013606159863869193,0.008000000000000007
y,54,-9.309172396492006e-5,0.002942346512851621,0.0010000000000000013
y,55,0.0,0.0,0.0
y,56,0.0,0.0,0.0
y,57,-0.00034371785331310865,0.0050728660949382115,0.005000000000000002
y,58,0.00011583172556078979,0.003661088862311833,0.0010000000000000015
y,59,5.7028231745072924e-5,0.0018024891114105975,0.0010000000000000013
y,60,0.0,0.0,0.0
y,61,0.0,0.0,0.0
y,62,-6.515596872396775e-5,0.0020593821792222818,0.0010000000000000009
y,63,0.0001459333429823698,0.002781885055232164,0.005000000000000006
y,64,1.6631741044481716e-5,0.0005256787948553067,0.0010000000000000013
y,65,6.531537579807103e-5,0.00271753947695746,0.0030000000000000022
y,66,0.0,0.0,0.0
y,67,0.0,0.0,0.0
y,68,4.640271622567163e-5,0.00259511168337888,0.0020000000000000026
y,69,1.821009007749379e-7,5.755656115942032e-6,0.0010000000000000013
