Trait,Marker_ID,Estimate,SD,Model_Frequency
y,1,0.0,0.0,0.0
y,2,1.2940211388225671e-5,0.0004090007600252023,0.0010000000000000013
y,3,0.0,0.0,0.0
y,4,0.0,0.0,0.0
y,5,0.0,0.0,0.0
y,6,0.0,0.0,0.0
y,7,1.4958875246553608e-5,0.0004728045903894269,0.001000000000000002
y,8,0.00022300282654185647,0.0036231348664444185,0.0040000000000000036
y,9,0.0,0.0,0.0
y,10,0.0,0.0,0.0
y,11,-2.486677532008129e-5,0.0007859632041670793,0.0010000000000000018
y,12,0.0,0.0,0.0
y,13,-4.421889278804387e-5,0.0013976248312480418,0.0010000000000000013
y,14,0.0,0.0,0.0
y,15,0.0019136873355154239,0.013851863974141648,0.021999999999999978
y,16,0.0,0.0,0.0
y,17,-0.00026657659880900485,0.0060059654232112545,0.002000000000000003
y,18,-8.253480942571042e-5,0.002608674524000919,0.0010000000000000013
y,19,0.0,0.0,0.0
y,20,0.0,0.0,0.0
y,21,0.0,0.0,0.0
y,22,-0.012015582026560757,0.048417343642206075,0.064
y,23,0.0,0.0,0.0
y,24,0.0,0.0,0.0
y,25,0.0,0.0,0.0
y,26,3.7079778269402334e-6,0.00011719791152369262,0.0010000000000000015
y,27,0.00045683231112080637,0.005938134751141918,0.005999999999999996
y,28,7.204481303923224e-5,0.002277117614611085,0.0010000000000000007
y,29,0.0,0.0,0.0
y,30,0.0,0.0,0.0
y,31,8.039382162584638e-5,0.0018020078279076953,0.0020000000000000013
y,32,-2.345749684932217e-5,0.0007414201941392774,0.0010000000000000013
y,33,-3.485762449753099e-5,0.0011017435870588317,0.001
y,34,0.0,0.0,0.0
y,35,0.0,0.0,0.0
y,36,1.3864112409564748e-6,0.0005389640667998372,0.002000000000000003
y,37,0.0,0.0,0.0
y,38,0.0,0.0,0.0
y,39,0.0,0.0,0.0
y,40,0.0,0.0,0.0
y,41,0.0,0.0,0.0
y,42,0.0,0.0,0.0
y,43,0.0,0.0,0.0
y,44,0.0,0.0,0.0
y,45,0.0,0.0,0.0
y,46,0.0,0.0,0.0
y,47,3.179216095889907e-5,0.0024401845723754007,0.0030000000000000035
y,48,-2.6809942771343693e-5,0.0008473808225180245,0.001000000000000002
y,49,0.0,0.0,0.0
y,50,0.0,0.0,0.0
y,51,0.0,0.0,0.0
y,52,0.00033610294919128494,0.006477003820004299,0.0030000000000000014
y,53,-0.00024721012173679516,0.00502262611930753,0.0040000000000000036
y,54,0.0005295356325440197,0.008802768570407874,0.0040000000000000036
y,55,-0.0004050403270297875,0.006685747665036241,0.004000000000000004
y,56,7.913440626940243e-5,0.00250119811317601,0.0010000000000000009
y,57,-2.0307710394285793e-5,0.0006418650156822113,0.0010000000000000005
y,58,9.957655146410992e-5,0.003147312204386953,0.0010000000000000013
y,59,0.00019253907831159403,0.005245734943343998,0.002000000000000003
y,60,0.0,0.0,0.0
y,61,0.0,0.0,0.0
y,62,0.0,0.0,0.0
y,63,0.00025179071093021227,0.004645456854694435,0.0030000000000000035
y,64,0.0,0.0,0.0
y,65,3.124732042967755e-5,0.0009876328462545723,0.001000000000000001
y,66,-0.0006172001628400735,0.009167972897580695,0.005
y,67,6.60365471556533e-5,0.0020872145875976823,0.0010000000000000013
y,68,0.0,0.0,0.0
y,69,0.0013513895197441218,0.010981884852517134,0.01600000000000004
y,70,0.0,0.0,0.0
y,71,0.0,0.0,0.0
y,72,-0.00013506600145998834,0.0035460256356751483,0.0030000000000000027
y,73,0.00012902845710264333,0.004043564320307093,0.0020000000000000026
y,74,-0.001497776708684825,0.011810415224550315,0.01700000000000002
y,75,0.0,0.0,0.0
y,76,-0.00024070835886114765,0.004563979468197296,0.0030000000000000014
y,77,0.0,0.0,0.0
y,78,0.0,0.0,0.0
y,79,0.0,0.0,0.0
y,80,0.0,0.0,0.0
y,81,0.0001638416044600452,0.0037265222972637123,0.0020000000000000026
y,82,-6.46662713608642e-5,0.001188697099792893,0.0030000000000000035
y,83,0.0,0.0,0.0
y,84,5.357804324562995e-6,0.00016934391371739804,0.0010000000000000022
y,85,0.001672233046684862,0.021113038420715085,0.007999999999999993
y,86,0.0,0.0,0.0
y,87,0.0,0.0,0.0
y,88,-7.005500295932085e-5,0.001677444668100914,0.002000000000000001
y,89,4.1776478402302746e-5,0.001320427534380577,0.0010000000000000013
y,90,4.2533231873036675e-5,0.0013443462120123447,0.0010000000000000013
y,91,-5.6957164023983825e-5,0.0018002428767034048,0.001000000000000002
y,92,0.0,0.0,0.0
y,93,0.001240448042044187,0.014064106764609329,0.010000000000000002
y,94,0.0,0.0,0.0
y,95,0.0,0.0,0.0
y,96,0.0,0.0,0.0
y,97,0.0,0.0,0.0
y,98,0.0,0.0,0.0
y,99,0.0,0.0,0.0
y,100,0.0,0.0,0.0
y,101,0.0,0.0,0.0
y,102,-3.863843042695328e-5,0.004118333994703974,0.004
y,103,1.8981770314247895e-5,0.0005999560789412834,0.0010000000000000007
y,104,0.0,0.0,0.0
y,105,0.0,0.0,0.0
y,106,-4.050893812862378e-5,0.001280364438056745,0.001000000000000002
y,107,0.0,0.0,0.0
y,108,0.0,0.0,0.0
y,109,-1.8530082628443462e-5,0.0005856796037550963,0.001000000000000002
y,110,0.0,0.0,0.0
y,111,0.0,0.0,0.0
y,112,0.0,0.0,0.0
y,113,0.0,0.0,0.0
y,114,0.0,0.0,0.0
y,115,0.0,0.0,0.0
y,116,0.0,0.0,0.0
y,117,0.0,0.0,0.0
y,118,-0.0001456116258795315,0.003253906249625593,0.0020000000000000026
y,119,0.0,0.0,0.0
y,120,6.521688346667801e-5,0.002061307509135198,0.0009999999999999998
y,121,-1.2168015200575904e-6,3.845939850381499e-5,0.0010000000000000013
y,122,0.0,0.0,0.0
y,123,2.898739507064924e-5,0.000873954437050921,0.0020000000000000026
y,124,0.0,0.0,0.0
y,125,3.6797571906489614e-5,0.0011630594296574304,0.0010000000000000013
y,126,0.0,0.0,0.0
y,127,0.0,0.0,0.0
y,128,5.3281839968450785e-5,0.0016877809564551898,0.002000000000000002
y,129,-1.1096189926553878e-5,0.00035071684512619184,0.0010000000000000009
y,130,0.0001588505807036379,0.003872293401180111,0.0030000000000000022
y,131,-4.03024316910004e-5,0.0012941647904504835,0.0020000000000000026
y,132,0.0,0.0,0.0
y,133,0.0,0.0,0.0
y,134,5.331473606148217e-6,0.00016851167972055224,0.0010000000000000013
y,135,0.0,0.0,0.0
y,136,-3.3175132372905335e-5,0.0010485651236579604,0.0010000000000000022
y,137,2.769972525448994e-5,0.000875504142991372,0.0010000000000000009
y,138,4.86928550587785e-5,0.001539033183411402,0.001000000000000001
y,139,4.030089539602968e-5,0.0009653945395053206,0.0020000000000000035
y,140,0.005753610936647994,0.026240871411367335,0.05200000000000002
y,141,0.0,0.0,0.0
y,142,0.0,0.0,0.0
y,143,1.6533875557449458e-5,0.0005225855641981272,0.0010000000000000009
y,144,0.00011558505311550443,0.003653292295890139,0.0010000000000000009
y,145,0.0,0.0,0.0
y,146,6.158515968515972e-5,0.0019465197562709624,0.0010000000000000013
y,147,0.0,0.0,0.0
y,148,-3.204076152211872e-5,0.0010127111081243085,0.0010000000000000013
y,149,0.0,0.0,0.0
y,150,-0.00010922754882932484,0.003452350904215746,0.0010000000000000013
y,151,-2.2767784993911867e-5,0.0007196204982457556,0.0010000000000000015
y,152,0.0003052983850008603,0.005665979527586107,0.0030000000000000022
y,153,4.315243975714127e-5,0.0013639174916162291,0.0010000000000000013
y,154,0.0,0.0,0.0
y,155,0.0,0.0,0.0
y,156,0.00023111946734072158,0.004431406295711342,0.0030000000000000014
y,157,0.0,0.0,0.0
y,158,0.0,0.0,0.0
y,159,0.0,0.0,0.0
y,160,-6.086967382059682e-5,0.0019239054222686786,0.001
y,161,0.0,0.0,0.0
y,162,0.0,0.0,0.0
y,163,-1.1868042550217058e-5,0.0003751127610996305,0.0010000000000000015
y,164,0.0002933752617389783,0.005594864210036062,0.0030000000000000027
y,165,-0.00011351265781328841,0.003587790177860589,0.0010000000000000013
y,166,0.0,0.0,0.0
y,167,-4.044691074138395e-5,0.0012784039408312818,0.0010000000000000013
y,168,0.0,0.0,0.0
y,169,0.0,0.0,0.0
y,170,0.0,0.0,0.0
y,171,-7.60852001547798e-5,0.0020178613105703044,0.002000000000000003
y,172,0.0,0.0,0.0
y,173,0.0,0.0,0.0
y,174,0.0,0.0,0.0
y,175,0.0,0.0,0.0
y,176,0.0,0.0,0.0
y,177,4.962848188408012e-6,0.00015686055042311785,0.0010000000000000013
y,178,0.0,0.0,0.0
y,179,0.00017613131979159105,0.005692914674971885,0.0020000000000000018
y,180,0.0,0.0,0.0
