Trait,Marker_ID,Estimate,SD,Model_Frequency
y,1,0.0,0.0,0.0
y,2,0.0,0.0,0.0
y,3,0.00013444998417588757,0.0030858159636110247,0.0020000000000000005
y,4,1.2348190591578387e-5,0.002121418597418873,0.004000000000000001
y,5,0.0,0.0,0.0
y,6,-0.0002989716291245817,0.0063963527087247795,0.005000000000000001
y,7,0.0,0.0,0.0
y,8,-0.00012599775027723816,0.0031226846833775313,0.0030000000000000027
y,9,0.0,0.0,0.0
y,10,-7.012994733285454e-5,0.002216594528414264,0.0010000000000000013
y,11,0.0,0.0,0.0
y,12,0.00015902700552928724,0.003616718572028813,0.002000000000000003
y,13,0.0,0.0,0.0
y,14,-4.0099526583053844e-5,0.001267424183197108,0.001000000000000001
y,15,0.0,0.0,0.0
y,16,-2.3305724622334885e-5,0.0007366231352407657,0.0010000000000000007
y,17,5.6513622406370725e-5,0.0017862238739789465,0.0010000000000000013
y,18,0.0013728591600597811,0.011788869688145381,0.017000000000000008
y,19,0.0,0.0,0.0
y,20,-8.384386509060492e-6,0.00026500497956865313,0.0010000000000000002
y,21,3.942165678594914e-5,0.0012459987787816725,0.001000000000000001
y,22,-1.3132872242721282e-5,0.0009897425305715822,0.0030000000000000027
y,23,0.0,0.0,0.0
y,24,0.00012374335605012924,0.002596267170551417,0.004000000000000004
y,25,6.870698093378898e-5,0.002171618884566765,0.001000000000000002
y,26,9.931702182919626e-5,0.002235868688165108,0.002000000000000002
y,27,0.0,0.0,0.0
y,28,0.0,0.0,0.0
y,29,0.0,0.0,0.0
y,30,-4.9427209412825425e-5,0.0013396234491880933,0.0029999999999999996
y,31,5.404049723790573e-5,0.001708055902591714,0.0010000000000000013
y,32,-2.380254233078772e-5,0.0007523260333044008,0.001000000000000002
y,33,0.0,0.0,0.0
y,34,1.1287246040870327e-5,0.0017968834276156046,0.0030000000000000022
y,35,-0.00011866633427112565,0.0022117655297939835,0.003000000000000001
y,36,-1.0785840540401047e-5,0.00034090764410144237,0.0010000000000000015
y,37,0.0,0.0,0.0
y,38,1.4644727768019188e-5,0.0004628753432059139,0.0010000000000000009
y,39,0.0,0.0,0.0
y,40,-2.2840576717943036e-5,0.0012828308347630612,0.0030000000000000022
y,41,-0.00019733926893271972,0.004429225153092686,0.0020000000000000013
y,42,0.00038879933334547606,0.00442687681919877,0.008999999999999994
y,43,5.181549721349006e-6,0.003400118615472058,0.0020000000000000005
y,44,2.2651919336398912e-5,0.0010366591403156665,0.002000000000000003
y,45,-0.00035530020948703727,0.006291508373401332,0.0040000000000000036
y,46,-2.2110328893374524e-5,0.0006988403087468697,0.0010000000000000022
y,47,1.4996016966952193e-5,0.0009075660024428615,0.002000000000000002
y,48,-3.735428291233897e-5,0.0015036958710697554,0.0030000000000000027
y,49,0.0,0.0,0.0
y,50,0.000140232437639084,0.003330264833808619,0.004999999999999998
y,51,-8.312237106865254e-5,0.0023027671828901204,0.003000000000000003
y,52,-9.401840794253254e-5,0.002971636177430949,0.001000000000000001
y,53,0.00011636227753864882,0.004119389133801974,0.003000000000000001
y,54,0.0004795919249262152,0.009017940095562057,0.0029999999999999983
y,55,0.0,0.0,0.0
y,56,3.26306373911634e-5,0.0010313552918645615,0.0010000000000000018
y,57,-8.557062387021035e-6,0.0008860958204799462,0.0020000000000000013
y,58,0.00011027074801536516,0.0026760548430141843,0.0020000000000000026
y,59,3.453114383359283e-5,0.0035010578940146476,0.003000000000000003
y,60,-0.0005349646236498649,0.007324486872664308,0.006000000000000001
y,61,-5.758360492137099e-5,0.0014853112407283763,0.0020000000000000026
y,62,0.0,0.0,0.0
y,63,2.3358267598775833e-5,0.0032417484701981847,0.003000000000000003
y,64,-5.897381506560471e-5,0.0018639830880479462,0.0010000000000000009
y,65,-0.0002547685549140331,0.0068218339552523575,0.004000000000000003
y,66,-0.00018310814072195486,0.005787491909925469,0.0010000000000000013
y,67,0.0,0.0,0.0
y,68,7.334089845258864e-6,0.00023180829360588203,0.0010000000000000022
y,69,-4.910146246314169e-5,0.0015519480218110717,0.0010000000000000009
y,70,0.0,0.0,0.0
y,71,3.5548119122988565e-5,0.0011235680239349132,0.0010000000000000005
y,72,6.809919713574647e-5,0.00215240868560846,0.0010000000000000013
y,73,0.0010074443686798147,0.010683621455341376,0.010000000000000004
y,74,6.7503263253643886e-6,0.00021335730264841787,0.0010000000000000002
y,75,-5.866643314939848e-6,0.00018542676797308344,0.0010000000000000005
y,76,8.169050448753509e-5,0.0017781229115189183,0.0030000000000000027
y,77,0.0,0.0,0.0
y,78,-1.741670604254946e-6,0.007265571263759995,0.005000000000000003
y,79,4.298297867120215e-5,0.0019699186229770334,0.0020000000000000044
y,80,-2.8980816478786775e-5,0.0009159955436863989,0.0010000000000000009
y,81,5.281220439927724e-5,0.0016692332984270181,0.0010000000000000013
y,82,3.742140678349896e-6,0.00011827769544467981,0.0010000000000000022
y,83,-6.962981775140945e-5,0.003162332231407506,0.0030000000000000014
y,84,0.0,0.0,0.0
y,85,1.3500134085355628e-5,0.000987752153229563,0.0020000000000000018
y,86,-0.000973830161651127,0.008867426992072078,0.014000000000000009
y,87,6.509323670071406e-5,0.002057399410593631,0.0010000000000000015
y,88,-0.0009332653560058086,0.00983071928513366,0.011
y,89,0.0,0.0,0.0
y,90,0.0,0.0,0.0
y,91,7.317276304548491e-5,0.0023874386123238912,0.0020000000000000018
y,92,-0.0003074763328517356,0.0049622170250932665,0.004000000000000006
y,93,0.0,0.0,0.0
y,94,4.110434094123392e-5,0.0012991833116881505,0.0010000000000000015
y,95,-0.0008400456728590749,0.008610272961558777,0.012
y,96,-0.00012283968824975533,0.0025132473305281974,0.0030000000000000022
y,97,0.0,0.0,0.0
y,98,0.0,0.0,0.0
y,99,0.0,0.0,0.0
y,100,0.0,0.0,0.0
y,101,-0.00015526901744142296,0.0025474959706389662,0.0040000000000000036
y,102,0.0,0.0,0.0
y,103,4.7114812163360256e-5,0.00494220296657599,0.003000000000000004
y,104,0.0,0.0,0.0
y,105,4.690117982512183e-5,0.0014824037737132987,0.0010000000000000009
y,106,0.0003691241342514169,0.00518971000495303,0.006000000000000002
y,107,3.840639317138612e-5,0.00196647698066373,0.004000000000000004
y,108,0.0003347709040495581,0.005025488586998625,0.006
y,109,2.5608323337701614e-7,8.094012836313674e-6,0.001000000000000002
y,110,-5.375386781620566e-6,0.00016989964175644738,0.001000000000000001
y,111,0.0005218371851481189,0.00721411870349631,0.0059999999999999975
y,112,-5.910019288865734e-5,0.004911181330625325,0.0030000000000000014
y,113,0.0005631929570450864,0.007958968181794396,0.007000000000000001
y,114,-9.02384560353385e-6,0.0009354650243151989,0.0019999999999999996
y,115,0.0,0.0,0.0
y,116,-7.739495473730339e-5,0.0012221456846475114,0.004000000000000001
y,117,0.0,0.0,0.0
y,118,-4.160969485399419e-5,0.0023317260366597556,0.0030000000000000014
y,119,4.328691287000037e-5,0.0010841879879094063,0.0020000000000000005
y,120,0.00013221796557046658,0.00417900811547112,0.0010000000000000002
y,121,0.0,0.0,0.0
y,122,-5.351482940247011e-5,0.0018217313943517945,0.0030000000000000027
y,123,0.0,0.0,0.0
y,124,-1.956895082089695e-5,0.0006185150704667209,0.0009999999999999996
y,125,4.5582507483296304e-5,0.0014407245480924885,0.0010000000000000009
y,126,-1.2131579432842178e-5,0.0003834423611389639,0.0010000000000000015
y,127,3.7883122497065154e-5,0.0011973703851179522,0.0010000000000000015
y,128,0.0,0.0,0.0
y,129,-1.1437596693972506e-5,0.0003615076755974026,0.0010000000000000009
y,130,0.0,0.0,0.0
y,131,4.561785621560496e-5,0.0015436216003883371,0.004000000000000005
y,132,-4.646148647342627e-5,0.0014685064029806095,0.0010000000000000009
y,133,-9.838303106872852e-5,0.002198114225914622,0.002000000000000003
y,134,0.0,0.0,0.0
y,135,-0.0002545980958281977,0.005122658492575291,0.004000000000000003
y,136,-0.0007127797816332205,0.00868388319631919,0.007000000000000001
y,137,3.2178759817602346e-5,0.0010170728149034073,0.0010000000000000015
y,138,0.00035030847691870556,0.004927918018821473,0.006000000000000005
y,139,0.00031933960072154263,0.004457740265412507,0.006000000000000001
y,140,-7.356673019920329e-5,0.0020525249326578546,0.002000000000000002
y,141,4.624436398339316e-5,0.0014345048941814729,0.0020000000000000026
y,142,0.0,0.0,0.0
y,143,-1.0854152632208372e-5,0.0007539515894263622,0.0030000000000000014
y,144,-6.989710372119415e-5,0.0022092350494012087,0.0010000000000000002
y,145,0.0025392071323196703,0.01840919761873705,0.022999999999999993
y,146,0.00024578031466493123,0.003924112986916941,0.004000000000000006
y,147,0.0,0.0,0.0
y,148,0.0,0.0,0.0
y,149,0.00011634302060249252,0.0027094685903047947,0.0020000000000000026
y,150,-0.00026283797520399555,0.006548293999281955,0.002000000000000001
y,151,0.0,0.0,0.0
y,152,0.0,0.0,0.0
y,153,-2.1214875242589816e-6,0.001791484119941356,0.0020000000000000026
y,154,0.0001047328165478714,0.002380710676585504,0.0020000000000000018
y,155,0.0,0.0,0.0
y,156,0.000242970302756574,0.0038315713490476005,0.005000000000000003
y,157,-0.0034765262248747627,0.022066188665771026,0.028000000000000018
y,158,0.0,0.0,0.0
y,159,2.1859963841216087e-5,0.0006909270302428005,0.001000000000000002
y,160,0.0001495360414385207,0.0047263798685054864,0.0010000000000000015
y,161,0.0009646488669875209,0.0093628219523548,0.012000000000000002
y,162,-4.4559490538861136e-5,0.0016636501193291696,0.002000000000000002
y,163,0.00011009283615076258,0.0024597458715744226,0.0020000000000000026
y,164,-3.5965079763858725e-5,0.0011367468827572383,0.0010000000000000013
y,165,1.9671644367720584e-5,0.0005805161625157923,0.0020000000000000018
y,166,0.0,0.0,0.0
y,167,4.2699191134827663e-5,0.0013495916799702724,0.0010000000000000013
y,168,-9.03612733241938e-5,0.0027726471248238557,0.0020000000000000018
y,169,0.0,0.0,0.0
y,170,0.0,0.0,0.0
y,171,5.590912998881748e-5,0.0018365145877728885,0.002000000000000002
y,172,0.0,0.0,0.0
y,173,-4.730547780375935e-5,0.001436236749585193,0.0020000000000000035
y,174,0.0,0.0,0.0
y,175,0.00010830299639215672,0.002421786679977315,0.0020000000000000013
y,176,-5.6828136713294255e-5,0.0012826390429413045,0.0020000000000000018
y,177,0.0,0.0,0.0
y,178,4.13937475039428e-5,0.001308330573703662,0.0010000000000000013
y,179,0.0,0.0,0.0
y,180,-6.1008968669303904e-5,0.0019283081091552804,0.001
y,181,-9.078847796735051e-5,0.0020959908561654973,0.0020000000000000026
y,182,0.0001094316024444931,0.0024490660676302393,0.002000000000000003
y,183,-6.667796095928799e-5,0.002107487728839875,0.0010000000000000013
y,184,-4.7115548608224325e-5,0.0011151865239135323,0.0020000000000000044
y,185,3.2391421262760456e-5,0.003315806470801915,0.0020000000000000018
y,186,-0.00017031730854993632,0.003853573131952019,0.0020000000000000026
y,187,0.0,0.0,0.0
y,188,-3.6339422739445925e-6,0.00011485787266840374,0.0010000000000000002
y,189,0.0,0.0,0.0
y,190,0.0009304048559866411,0.010573145104198189,0.010000000000000004
y,191,0.0,0.0,0.0
y,192,6.050627408263419e-5,0.0019124194608295243,0.0010000000000000005
y,193,-1.933608925199046e-5,0.0006111550238796876,0.0010000000000000013
y,194,-4.1294203021268355e-6,0.0011356046949997666,0.0020000000000000026
y,195,0.0,0.0,0.0
y,196,-0.00023905335930479363,0.0074987187231076126,0.0040000000000000036
y,197,0.0,0.0,0.0
y,198,-0.0009436380209610835,0.008068322685252741,0.016999999999999998
y,199,0.0011557089009435737,0.01385345770516886,0.008000000000000009
y,200,4.8141783327284926e-5,0.0015216154805433987,0.0010000000000000015
y,201,5.1780778223477456e-5,0.002333785967633594,0.002000000000000002
y,202,0.0,0.0,0.0
y,203,0.0,0.0,0.0
y,204,0.00013885818448663954,0.0024601473504471828,0.006
y,205,-0.0008690633325869469,0.010229627126255537,0.010999999999999996
y,206,0.00010337283566958836,0.0028504802653267266,0.004000000000000002
y,207,0.0,0.0,0.0
y,208,0.00017955879045437835,0.007379154836784338,0.006
y,209,0.0,0.0,0.0
y,210,5.686507015009393e-5,0.0014175732219982354,0.0020000000000000026
y,211,0.00018552224103341182,0.0035833509851678673,0.003000000000000003
y,212,-0.000402776030931279,0.0062227293241844915,0.005
y,213,3.1894173907093583e-5,0.0010080779190552252,0.0009999999999999996
y,214,-1.321000160373242e-6,4.175280089146621e-5,0.0010000000000000009
y,215,-0.000145748575585373,0.005357047355710207,0.002000000000000003
y,216,-5.798493127975709e-5,0.0013195948594695573,0.0020000000000000018
y,217,-5.0765479989615294e-5,0.0022932172581729203,0.0030000000000000014
y,218,-0.00015300279348403714,0.0029873674289914616,0.004000000000000005
y,219,7.125130535023288e-5,0.0022520372478265095,0.0010000000000000013
y,220,-4.7595416706305334e-5,0.0014386994149392072,0.0020000000000000018
y,221,-0.00015706104631033876,0.005187097398841952,0.0020000000000000018
y,222,3.274899111453522e-6,0.00010350960934139818,0.0010000000000000015
y,223,-2.246758828574219e-5,0.002824754652353033,0.002000000000000002
y,224,-0.00027673016978345264,0.007022911843686216,0.003000000000000002
y,225,-0.00011323133927994359,0.003578898553875839,0.0010000000000000009
y,226,5.924503564693289e-5,0.001872555546454507,0.001000000000000002
y,227,-6.668135821440911e-6,0.0001530692283164576,0.0020000000000000018
y,228,0.00023172335798975994,0.0052592695588256425,0.0020000000000000018
y,229,0.00012187979923063032,0.0030944654500189013,0.002000000000000002
y,230,0.000228034321857121,0.0040908400089916105,0.004000000000000006
y,231,-0.00010725372446505178,0.003389964314002969,0.0010000000000000002
y,232,0.0,0.0,0.0
y,233,9.986001701812903e-6,0.00026890546129728276,0.002000000000000003
y,234,0.0,0.0,0.0
y,235,0.00011968468531402977,0.002675624530415297,0.0020000000000000026
y,236,0.0002832396980939937,0.004526054639311551,0.004000000000000003
y,237,-5.6848001194914524e-5,0.00129122715433877,0.002000000000000002
y,238,0.0,0.0,0.0
y,239,2.916288176841309e-5,0.0009217500742421457,0.0010000000000000015
y,240,0.0,0.0,0.0
y,241,-6.92569607428235e-5,0.001624502261904976,0.0020000000000000018
y,242,-0.0003237936007109812,0.005961669879372156,0.006000000000000003
y,243,0.0,0.0,0.0
y,244,-7.95023800738252e-6,0.00025128286469565625,0.0010000000000000013
y,245,0.0,0.0,0.0
y,246,4.243044397911338e-5,0.0013410973990312608,0.0010000000000000013
y,247,1.2814834483912351e-5,0.0004630488186499643,0.0020000000000000026
y,248,0.0,0.0,0.0
y,249,0.0,0.0,0.0
y,250,0.00010086964304811004,0.002095377759382643,0.003000000000000002
y,251,-2.4840370066805802e-5,0.0007851286143497818,0.0010000000000000013
y,252,-8.65249917524559e-5,0.0021080615851147956,0.0030000000000000022
y,253,5.600211102321856e-6,0.00017700565535083444,0.001000000000000002
y,254,0.00016199292396071237,0.0032656986226262705,0.0040000000000000036
y,255,0.002304649250325215,0.018741973540578896,0.019000000000000013
y,256,-0.00030519704616365997,0.006964257764411154,0.003000000000000004
y,257,0.00014996209140362307,0.003356054911553667,0.0020000000000000026
y,258,0.0,0.0,0.0
y,259,0.0,0.0,0.0
y,260,0.00043226710136692447,0.006703481522636485,0.008000000000000002
y,261,0.0,0.0,0.0
y,262,-0.00016670714135430886,0.002746479862899728,0.004
y,263,-0.0015124780715135115,0.010892376395936413,0.021000000000000008
y,264,0.0,0.0,0.0
y,265,0.0,0.0,0.0
y,266,0.0,0.0,0.0
y,267,0.0,0.0,0.0
y,268,-8.475410084546513e-5,0.002678819581926552,0.0010000000000000009
y,269,-8.716040405950517e-6,0.0006753238051245381,0.0020000000000000026
y,270,0.00011476140265115636,0.003416216131135118,0.004000000000000003
y,271,-7.502331617248537e-5,0.0023712590477523083,0.001000000000000002
y,272,1.3755172186258707e-6,4.3475919439587637e-5,0.0010000000000000009
y,273,9.315827652045702e-5,0.0022319560565436623,0.0020000000000000013
y,274,-9.804957467413798e-5,0.0022951201778563806,0.0020000000000000026
y,275,0.0,0.0,0.0
y,276,-1.3000795545753098e-5,0.0011938786102918578,0.003000000000000001
y,277,0.0034135475216542296,0.02054272672788466,0.03200000000000002
y,278,0.0,0.0,0.0
y,279,-3.608822505152604e-5,0.0009688409224310894,0.002000000000000002
y,280,0.0009713469438945734,0.010297722687480144,0.010000000000000004
y,281,0.0,0.0,0.0
y,282,0.0,0.0,0.0
y,283,-9.26384009173467e-5,0.0025650110900925175,0.002000000000000003
y,284,0.0,0.0,0.0
